fips,county,State
1001,autauga,AL
1003,baldwin,AL
1005,barbour,AL
1007,bibb,AL
1009,blount,AL
1011,bullock,AL
1013,butler,AL
1015,calhoun,AL
1017,chambers,AL
1019,cherokee,AL
1021,chilton,AL
1023,choctaw,AL
1025,clarke,AL
1027,clay,AL
1029,cleburne,AL
1031,coffee,AL
1033,colbert,AL
1035,conecuh,AL
1037,coosa,AL
1039,covington,AL
1041,crenshaw,AL
1043,cullman,AL
1045,dale,AL
1047,dallas,AL
1049,de kalb,AL
1051,elmore,AL
1053,escambia,AL
1055,etowah,AL
1057,fayette,AL
1059,franklin,AL
1061,geneva,AL
1063,greene,AL
1065,hale,AL
1067,henry,AL
1069,houston,AL
1071,jackson,AL
1073,jefferson,AL
1075,lamar,AL
1077,lauderdale,AL
1079,lawrence,AL
1081,lee,AL
1083,limestone,AL
1085,lowndes,AL
1087,macon,AL
1089,madison,AL
1091,marengo,AL
1093,marion,AL
1095,marshall,AL
1097,mobile,AL
1099,monroe,AL
1101,montgomery,AL
1103,morgan,AL
1105,perry,AL
1107,pickens,AL
1109,pike,AL
1111,randolph,AL
1113,russell,AL
1115,st clair,AL
1117,shelby,AL
1119,sumter,AL
1121,talladega,AL
1123,tallapoosa,AL
1125,tuscaloosa,AL
1127,walker,AL
1129,washington,AL
1131,wilcox,AL
1133,winston,AL
2013,aleutians east,AK
2016,aleutians west,AK
2020,anchorage,AK
2050,bethel,AK
2060,bristol bay,AK
2068,denali,AK
2070,dillingham,AK
2090,fairbanks north star,AK
2100,haines,AK
2110,juneau,AK
2122,kenai peninsula,AK
2130,ketchikan gateway,AK
2150,kodiak island,AK
2164,lake and peninsula,AK
2170,matanuska-susitna,AK
2180,nome,AK
2185,north slope,AK
2188,northwest arctic,AK
2201,prince of wales-outer ketchikan,AK
2220,sitka,AK
2232,skagway-hoonah-angoon,AK
2240,southeast fairbanks,AK
2261,valdez-cordova,AK
2270,wade hampton,AK
2280,wrangell-petersburg,AK
2282,yakutat,AK
2290,yukon-koyukuk,AK
4001,apache,AZ
4003,cochise,AZ
4005,coconino,AZ
4007,gila,AZ
4009,graham,AZ
4011,greenlee,AZ
4012,la paz,AZ
4013,maricopa,AZ
4015,mohave,AZ
4017,navajo,AZ
4019,pima,AZ
4021,pinal,AZ
4023,santa cruz,AZ
4025,yavapai,AZ
4027,yuma,AZ
5001,arkansas,AR
5003,ashley,AR
5005,baxter,AR
5007,benton,AR
5009,boone,AR
5011,bradley,AR
5013,calhoun,AR
5015,carroll,AR
5017,chicot,AR
5019,clark,AR
5021,clay,AR
5023,cleburne,AR
5025,cleveland,AR
5027,columbia,AR
5029,conway,AR
5031,craighead,AR
5033,crawford,AR
5035,crittenden,AR
5037,cross,AR
5039,dallas,AR
5041,desha,AR
5043,drew,AR
5045,faulkner,AR
5047,franklin,AR
5049,fulton,AR
5051,garland,AR
5053,grant,AR
5055,greene,AR
5057,hempstead,AR
5059,hot spring,AR
5061,howard,AR
5063,independence,AR
5065,izard,AR
5067,jackson,AR
5069,jefferson,AR
5071,johnson,AR
5073,lafayette,AR
5075,lawrence,AR
5077,lee,AR
5079,lincoln,AR
5081,little river,AR
5083,logan,AR
5085,lonoke,AR
5087,madison,AR
5089,marion,AR
5091,miller,AR
5093,mississippi,AR
5095,monroe,AR
5097,montgomery,AR
5099,nevada,AR
5101,newton,AR
5103,ouachita,AR
5105,perry,AR
5107,phillips,AR
5109,pike,AR
5111,poinsett,AR
5113,polk,AR
5115,pope,AR
5117,prairie,AR
5119,pulaski,AR
5121,randolph,AR
5123,st francis,AR
5125,saline,AR
5127,scott,AR
5129,searcy,AR
5131,sebastian,AR
5133,sevier,AR
5135,sharp,AR
5137,stone,AR
5139,union,AR
5141,van buren,AR
5143,washington,AR
5145,white,AR
5147,woodruff,AR
5149,yell,AR
6001,alameda,CA
6003,alpine,CA
6005,amador,CA
6007,butte,CA
6009,calaveras,CA
6011,colusa,CA
6013,contra costa,CA
6015,del norte,CA
6017,el dorado,CA
6019,fresno,CA
6021,glenn,CA
6023,humboldt,CA
6025,imperial,CA
6027,inyo,CA
6029,kern,CA
6031,kings,CA
6033,lake,CA
6035,lassen,CA
6037,los angeles,CA
6039,madera,CA
6041,marin,CA
6043,mariposa,CA
6045,mendocino,CA
6047,merced,CA
6049,modoc,CA
6051,mono,CA
6053,monterey,CA
6055,napa,CA
6057,nevada,CA
6059,orange,CA
6061,placer,CA
6063,plumas,CA
6065,riverside,CA
6067,sacramento,CA
6069,san benito,CA
6071,san bernardino,CA
6073,san diego,CA
6075,san francisco,CA
6077,san joaquin,CA
6079,san luis obispo,CA
6081,san mateo,CA
6083,santa barbara,CA
6085,santa clara,CA
6087,santa cruz,CA
6089,shasta,CA
6091,sierra,CA
6093,siskiyou,CA
6095,solano,CA
6097,sonoma,CA
6099,stanislaus,CA
6101,sutter,CA
6103,tehama,CA
6105,trinity,CA
6107,tulare,CA
6109,tuolumne,CA
6111,ventura,CA
6113,yolo,CA
6115,yuba,CA
8001,adams,CO
8003,alamosa,CO
8005,arapahoe,CO
8007,archuleta,CO
8009,baca,CO
8011,bent,CO
8013,boulder,CO
8015,chaffee,CO
8017,cheyenne,CO
8019,clear creek,CO
8021,conejos,CO
8023,costilla,CO
8025,crowley,CO
8027,custer,CO
8029,delta,CO
8031,denver,CO
8033,dolores,CO
8035,douglas,CO
8037,eagle,CO
8039,elbert,CO
8041,el paso,CO
8043,fremont,CO
8045,garfield,CO
8047,gilpin,CO
8049,grand,CO
8051,gunnison,CO
8053,hinsdale,CO
8055,huerfano,CO
8057,jackson,CO
8059,jefferson,CO
8061,kiowa,CO
8063,kit carson,CO
8065,lake,CO
8067,la plata,CO
8069,larimer,CO
8071,las animas,CO
8073,lincoln,CO
8075,logan,CO
8077,mesa,CO
8079,mineral,CO
8081,moffat,CO
8083,montezuma,CO
8085,montrose,CO
8087,morgan,CO
8089,otero,CO
8091,ouray,CO
8093,park,CO
8095,phillips,CO
8097,pitkin,CO
8099,prowers,CO
8101,pueblo,CO
8103,rio blanco,CO
8105,rio grande,CO
8107,routt,CO
8109,saguache,CO
8111,san juan,CO
8113,san miguel,CO
8115,sedgwick,CO
8117,summit,CO
8119,teller,CO
8121,washington,CO
8123,weld,CO
8125,yuma,CO
9001,fairfield,CT
9003,hartford,CT
9005,litchfield,CT
9007,middlesex,CT
9009,new haven,CT
9011,new london,CT
9013,tolland,CT
9015,windham,CT
10001,kent,DE
10003,new castle,DE
10005,sussex,DE
11001,washington,DC
12001,alachua,FL
12003,baker,FL
12005,bay,FL
12007,bradford,FL
12009,brevard,FL
12011,broward,FL
12013,calhoun,FL
12015,charlotte,FL
12017,citrus,FL
12019,clay,FL
12021,collier,FL
12023,columbia,FL
12027,de soto,FL
12029,dixie,FL
12031,duval,FL
12033,escambia,FL
12035,flagler,FL
12037,franklin,FL
12039,gadsden,FL
12041,gilchrist,FL
12043,glades,FL
12045,gulf,FL
12047,hamilton,FL
12049,hardee,FL
12051,hendry,FL
12053,hernando,FL
12055,highlands,FL
12057,hillsborough,FL
12059,holmes,FL
12061,indian river,FL
12063,jackson,FL
12065,jefferson,FL
12067,lafayette,FL
12069,lake,FL
12071,lee,FL
12073,leon,FL
12075,levy,FL
12077,liberty,FL
12079,madison,FL
12081,manatee,FL
12083,marion,FL
12085,martin,FL
12086,miami-dade,FL
12087,monroe,FL
12089,nassau,FL
12091,okaloosa,FL
12093,okeechobee,FL
12095,orange,FL
12097,osceola,FL
12099,palm beach,FL
12101,pasco,FL
12103,pinellas,FL
12105,polk,FL
12107,putnam,FL
12109,st johns,FL
12111,st lucie,FL
12113,santa rosa,FL
12115,sarasota,FL
12117,seminole,FL
12119,sumter,FL
12121,suwannee,FL
12123,taylor,FL
12125,union,FL
12127,volusia,FL
12129,wakulla,FL
12131,walton,FL
12133,washington,FL
13001,appling,GA
13003,atkinson,GA
13005,bacon,GA
13007,baker,GA
13009,baldwin,GA
13011,banks,GA
13013,barrow,GA
13015,bartow,GA
13017,ben hill,GA
13019,berrien,GA
13021,bibb,GA
13023,bleckley,GA
13025,brantley,GA
13027,brooks,GA
13029,bryan,GA
13031,bulloch,GA
13033,burke,GA
13035,butts,GA
13037,calhoun,GA
13039,camden,GA
13043,candler,GA
13045,carroll,GA
13047,catoosa,GA
13049,charlton,GA
13051,chatham,GA
13053,chattahoochee,GA
13055,chattooga,GA
13057,cherokee,GA
